688	C	0.1422	-0.5919	-0.0155	-0.1866	-0.0731	-0.0128
706	Cgh	0.1643	-0.5242	0.0301	-0.0782	0.2134	0.0637
716	S	0.0907	0.4316	-0.1175	-0.0237	-0.0025	0.0287
719	S	0.2017	0.1272	-0.0302	0.0746	0.0057	-0.0302
729	L	0.2708	0.1568	-0.233	0.0241	-0.0624	0.0292
742	K	0.1091	-0.2517	-0.1018	-0.0034	-0.0389	-0.0105
773	T	0.314	0.0708	-0.2304	-0.1299	0.0187	0.0123
776	Cgh	0.1044	-0.1864	-0.119	-0.146	0.0264	0.0472
782	Sw	0.341	0.0449	-0.0008	0.1452	0.0671	-0.0215
793	S	0.1418	0.2153	0.0006	-0.0107	-0.0117	0.0347
808	Sr	0.1713	0.0778	0.0947	-0.002	0.052	0.0259
824	L	0.0129	0.4221	-0.3669	-0.0528	-0.1058	-0.0254
847	S	0.2097	0.152	0.0439	0.0521	0.0339	0.0649
863	A	0.8185	-0.6353	0.1272	0.5648	0.0315	-0.0886
887	S	0.058	0.0152	-0.0323	-0.032	-0.0616	-0.0277
908	D	0.765	0.0971	-0.2006	-0.0441	0.2777	0.0974
913	Sw	0.3693	0.1822	-0.0491	0.1791	0.0031	-0.0083
925	S	0.1067	0.3524	-0.0797	-0.0145	0.0139	0.014
929	S	0.2136	0.0911	-0.0407	0.1482	-0.057	0.0083
944	D	0.6599	0.1231	-0.2694	-0.1305	-0.0048	0.0175
985	S	0.1846	-0.0571	0.0276	0.1107	-0.0966	-0.0495
1011	Sqw	0.294	-0.0864	0.0717	0.277	-0.0403	0.0544
1020	Sr	0.2044	0.2424	0.0404	0.0311	0.0118	0.0461
1036	Sr	0.185	0.2069	0.084	0.0152	0.0163	0.0325
1065	S	0.2346	0.0496	0.0068	0.1653	-0.0084	-0.0059
1126	Sw	0.4018	0.213	-0.0393	0.2356	0.0126	0.036
1131	S	0.2001	0.0293	0.013	0.2193	0.0078	0.0178
1139	Sw	0.3141	-0.0607	0.0599	0.21	-0.0025	0.0011
1143	D	0.7728	0.0137	-0.2418	-0.1016	0.1329	-0.002
1147	Sw	0.2859	0.0289	-0.0182	0.1642	-0.0254	0.0295
1148	K	0.1382	-0.1433	-0.1374	0.0388	-0.0477	0.0042
1198	Sw	0.4059	0.2511	-0.1157	-0.0233	0.0837	-0.0083
1204	Sw	0.2907	-0.0814	0.027	0.1072	0.0397	-0.011
1228	Sr	0.2101	0.26	0.0847	0.0304	0.031	0.0515
1300	Cgh	0.1043	-0.2711	-0.0753	-0.0814	0.0194	0.0924
1310	S	0.1123	0.4447	-0.0514	0.0167	-0.015	0.0211
1329	Sqw	0.3082	-0.1256	0.0161	0.1734	-0.0082	0.0146
1332	L	0.1639	0.0341	-0.2854	-0.1343	-0.3055	-0.0745
1350	S	0.2355	0.2981	-0.1003	0.0615	-0.1228	0.0896
1374	Sq	0.1447	-0.3497	0.115	0.1635	-0.0008	0.007
1433	S	0.1571	-0.014	0.0725	0.0723	0.0118	0.0279
1459	Vw	0.3241	0.3334	1.3056	-0.296	-0.2271	-0.1216
1471	D	0.7741	-0.3443	-0.0709	-0.1646	0.0462	0.0039
1494	Sqw	0.3464	-0.1276	0.0739	0.2306	-0.0404	0.0242
1508	B	-0.0248	-0.4534	-0.0773	-0.1414	-0.0687	-0.0077
1542	D	0.7417	0.0664	-0.1656	-0.1575	0.1144	0.0224
1565	Sr	0.081	-0.0956	0.1636	-0.1714	-0.1455	0.1434
1566	Q	0.192	-0.7202	0.2726	0.1542	0.0367	-0.1256
1580	B	-0.0893	-0.5645	-0.0059	-0.1496	-0.0365	-0.03
1620	S	0.1643	-0.035	0.0304	0.141	0.0515	-0.0234
1627	Sw	0.3027	-0.0624	0.071	0.2007	-0.0169	0.0313
1640	S	0.1622	0.0658	-0.0301	0.0744	0.0069	-0.0325
1642	S	0.0952	0.4189	-0.0768	0.0288	-0.0781	0.0556
