TB-TJM-103	Girgenti	TJM	Other-Met	Rock	nan	Ordinary Chondrite	L6	nan	0.0	150.0	Yes	Particulate Ground	Sicily, Italy	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-132	Chiang Khan	TJM	Other-Met	Rock	nan	Ordinary Chondrite	H5	nan	0.0	150.0	Yes	Particulate Ground	Loei, Thailand	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-135	Ipiranga	TJM	Other-Met	Rock	nan	Ordinary Chondrite	H6	nan	0.0	150.0	Yes	Particulate Ground	Lageado Ipiranga, Foz do Iguacu, Parana, Brazil	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-137	Karkh	TJM	Other-Met	Rock	nan	Ordinary Chondrite	L6	nan	0.0	150.0	Yes	Particulate Ground	Jhalawan, Baluchistan, Pakistan	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-139	Kunashak	TJM	Other-Met	Rock	nan	Ordinary Chondrite	L6	nan	0.0	150.0	Yes	Particulate Ground	Chelyabinsk region, Federated SSR, USSR	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
TB-TJM-140	Kyushu	TJM	Other-Met	Rock	nan	Ordinary Chondrite	L6	nan	0.0	150.0	Yes	Particulate Ground	Kyushu, Japan	Smithsonian Inst 	0.0	Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073
LM-LAM-009-A	ALH 77005,112 	LAM	Mars-Met	Rock	nan	Igneous	Shergottite	nan	0.0	0.0	nan	Natural 	Allan Hills, Antarctica 	JSC, Houston, TX	0.0	(A) Exposed face
LM-LAM-009-B	ALH 77005,112 	LAM	Mars-Met	Rock	nan	Igneous	Shergottite	nan	0.0	0.0	nan	Natural 	Allan Hills, Antarctica 	JSC, Houston, TX	0.0	(B) Large internal face opposite of (A). 
LM-LAM-009-D	ALH 77005,112 	LAM	Mars-Met	Rock	nan	Igneous	Shergottite	nan	0.0	0.0	nan	Natural 	Allan Hills, Antarctica 	JSC, Houston, TX	0.0	(D) Black part on (B). 
LM-LAM-023	Lafayette 	LAM	Mars-Met	Rock	nan	Igneous	Nakhlite	nan	0.0	100.0	Yes	Particulate	Tippecanoe Co., Indiana 	CSI 	0.0	nan
LR-CMP-254	60055,27 (about <200 um, 171 mg)	CMP	Moon-Ret	Rock	nan	Highland	Anorthosite FAN	nan	0.0	200.0	Yes	Particulate Unsorted	Apollo 16 site, Moon	RELAB	0.0	Friable, granular, bright with trace black particles.  Estimate FeO of 0.33 %
LS-CMP-098	78235,31	CMP	Moon-Ret	Rock	nan	Igneous 	Norite	Yes	0.0	0.0	nan	Chip	Apollo 17 site, Moon	Relab (Loan)	0.0	Glass coated chip of norite.Coating is ~300 micron.   This is a small crater on the glass side. 
MB-CMP-026	MAC 88177 chips	CMP	Other-Met	Rock	nan	Achondrite	Lodranite 	nan	0.0	0.0	nan	Slab	MacAlpine Hills, Antarctica	nan	0.0	nan
MB-TXH-031	ALH 81187,12	TXH	Other-Met	Rock	nan	Achondrite	Unique	nan	0.0	0.0	nan	Slab	Allan Hills, Anarctica 	nan	0.0	nan
MB-TXH-032	EET 84302,13 	TXH	Other-Met	Rock	nan	Achondrite	Unique	nan	0.0	0.0	nan	Slab	Elephant Moraine, Anarctica 	nan	0.0	nan
MB-TXH-037	Y-74357,2 	TXH	Other-Met	Rock	nan	Achondrite	Lodranite 	nan	0.0	0.0	nan	Slab	Yamato Mtn. Range, Anarctica	NIPR Tokyo, Japan 	0.0	nan
MB-TXH-040	ALH 77081, 6 or 20	TXH	Other-Met	Rock	nan	Achondrite	Acapulco	nan	0.0	0.0	nan	Chip	Allan Hills, Antarctica 	JSC or NIPR 	0.0	nan
MB-TXH-042	ALH 81261,3 	TXH	Other-Met	Rock	nan	Achondrite	Acapulco-Type 	nan	0.0	0.0	nan	Slab	Allan Hills, Antarctica 	JSC (MWG) 	0.0	nan
MP-TXH-071-A	ALH 77256,143 	TXH	Other-Met	Rock	nan	Achondrite	Basaltic HED Diogenite	nan	0.0	25.0	Yes	Particulate	Allan Hills, Antarctica 	NASA JSC 	0.0	Rusted.   
MP-TXH-121	ALH 81001,41 (Eucrite) <125 um	TXH	Other-Met	Rock	nan	Achondrite	Basaltic HED Eucrite Polymict 	nan	0.0	125.0	Yes	Particulate Ground Dry-Sieved 	Allan Hills, Antarctica	NASA JSC 	0.0	nan
MT-CMP-001	Acapulco	CMP	Other-Met	Rock	nan	Achondrite	Acapulcoite 	nan	0.0	0.0	nan	Slab	Acapulco	nan	0.0	Cut surface   2 passes for each grating 
MT-HYM-030	ALH 81001,43 eucrite	HYM	Other-Met	Rock	nan	Achondrite	Basaltic HED Eucrite	nan	0.0	45.0	Yes	Particulate Ground Sorted	Allan Hills, Antarctica	University of Tennessee	631.0	Petrology and near-infrared spectra of eucrites (Dawn)
MT-JMS-326	NWA 725 (Acapulcoite) <45 um	JMS	Other-Met	Rock	nan	Achondrite	Primitive Achondrite Acapulcoite	nan	0.0	45.0	Yes	Particulate Ground	near Amazraou, Morocco	Texas Christian University	0.0	Monnig Meteorite Collection
MT-JPE-302	MAC 88177,53 chip	JPE	Other-Met	Rock	nan	Achondrite	Primitive Achondrite Lodranite	nan	nan	nan	nan	Chip	MacAlpine Hills, Antarctica	University of Tennessee	0.0	nan
MT-JPE-302-A	MAC 88177,53 powder <125 um (metals removed)	JPE	Other-Met	Rock	nan	Achondrite	Primitive Achondrite Lodranite	nan	0.0	125.0	Yes	Particulate Ground Sorted	MacAlpine Hills, Antarctica	University of Tennessee	0.0	nan
MT-JPE-305	NWA 725 slab	JPE	Other-Met	Rock	nan	Achondrite	Primitive Achondrite Acapulcoite	nan	nan	nan	nan	Slab Cut	Meknès-Tafilalet, Morocco	University of Tennessee	0.0	nan
MT-JPE-305-A	NWA 725 powder <125 um (metals removed)	JPE	Other-Met	Rock	nan	Achondrite	Primitive Achondrite Acapulcoite	nan	0.0	125.0	Yes	Particulate Ground Sorted	Meknès-Tafilalet, Morocco	University of Tennessee	0.0	nan
MT-JPE-307	NWA 4024 slab	JPE	Other-Met	Rock	nan	Achondrite	Primitive Achondrite Winonaite	nan	nan	nan	nan	Slab Cut	Northwest Africa	University of Tennessee	0.0	nan
MT-JPE-307-A	NWA 4024 powder <125 um (metals removed)	JPE	Other-Met	Rock	nan	Achondrite	Primitive Achondrite Winonaite	nan	0.0	125.0	Yes	Particulate Ground Sorted	Northwest Africa	University of Tennessee	0.0	nan
RM-REM-123	ALH 77256,34 chip	REM	Other-Met	Rock	nan	Achondrite	Basaltic HED Olivine-Diogenite	nan	0.0	0.0	nan	Chip	Allan Hills, Antarctica	NASA JSC - Univ. Notre Dame	0.0	HED mixing model study
RM-REM-123-A	ALH 77256,34 <45 um	REM	Other-Met	Rock	nan	Achondrite	Basaltic HED Olivine-Diogenite	nan	0.0	45.0	Yes	Particulate Ground Sorted	Allan Hills, Antarctica	NASA JSC - Brown University	0.0	HED mixing model study
RM-REM-123-P	ALH 77256,34 bulk powder	REM	Other-Met	Rock	nan	Achondrite	Basaltic HED Olivine-Diogenite	nan	0.0	1000.0	Yes	Particulate Ground Unsorted	Allan Hills, Antarctica	NASA JSC - Brown University	0.0	HED mixing model study
RM-REM-126	MIL 03443,19 chip	REM	Other-Met	Rock	nan	Achondrite	Basaltic HED Olivine-Diogenite	nan	0.0	0.0	nan	Chip	Miller Range, Antarctica	NASA JSC - Univ. Notre Dame	0.0	HED mixing model study
RM-REM-126-A	MIL 03443,19 <45 um	REM	Other-Met	Rock	nan	Achondrite	Basaltic HED Olivine-Diogenite	nan	0.0	45.0	Yes	Particulate Ground Sorted	Miller Range, Antarctica	NASA JSC - Brown University	0.0	HED mixing model study
RM-REM-126-P	MIL 03443,19 bulk powder	REM	Other-Met	Rock	nan	Achondrite	Basaltic HED Olivine-Diogenite	nan	0.0	1000.0	Yes	Particulate Ground Unsorted	Miller Range, Antarctica	NASA JSC - Brown University	0.0	HED mixing model study
TB-TJM-033	ALH 81261 	TJM	Other-Met	Rock	nan	Achondrite	Acapulcoite 	nan	0.0	0.0	nan	Chip	Allan Hills, Antarctica 	Smithsonian-JSC 	0.0	nan
TB-TJM-035	Acapulco	TJM	Other-Met	Rock	nan	Achondrite	Acapulcoite 	nan	0.0	0.0	nan	Chip	Guerrero, Mexico	Smithsonian Inst	0.0	nan
TB-TJM-039	ALH 81261 	TJM	Other-Met	Rock	nan	Achondrite	Acapulcoite Primitive Achondrite	nan	0.0	125.0	Yes	Particulate Ground	Allan Hills, Antarctica 	JSC-Smithsonian 	0.0	nan
TB-TJM-040	ALH 81187 	TJM	Other-Met	Rock	nan	Achondrite	Acapulcoite Primitive Achondrite	nan	0.0	125.0	Yes	Particulate Ground	Allan Hills, Antarctica 	JSC-Smithsonian 	0.0	nan
TB-TJM-042	EET 84302	TJM	Other-Met	Rock	nan	Achondrite	Acapulcoite Lodranite Primitive Achondrite	nan	0.0	125.0	Yes	Particulate Ground	Elephant Moraine, Antarctica	JSC-Smithsonian 	0.0	Transitional of Acapulcoite-Lodranite   
